GeneSymbol	GeneID	GI
Olfr207	257973	gi|58801350
Olfr598	257975	gi|58801352
Olfr1487	258629	gi|33239128
Olfr1322	257978	gi|58801354
Olfr1141	258630	gi|33239180
Olfr1151	258631	gi|33239164
Olfr127	258374	gi|22129547
Olfr1138	258632	gi|33239170
Olfr782	257985	gi|58801360
Olfr794	258375	gi|22129549
Olfr884	257996	gi|58801362
Olfr654	258377	gi|22129543
Olfr593	258378	gi|22129545
Olfr1201	258897	gi|22129093
Olfr453	258016	gi|58801364
Olfr1284	258379	gi|22129539
Olfr213	258020	gi|58801368
Olfr460	258381	gi|22129535
Olfr1211	258025	gi|58801374
Olfr1385	258027	gi|58801376
Olfr1323	258385	gi|33239074
Olfr901	258028	gi|58801378
Olfr870	57251	gi|22380661
Olfr198	258036	gi|58801382
Olfr728	258039	gi|58801384
Olfr1278	258389	gi|33238998
Olfr435	258647	gi|33238912
Olfr853	258908	gi|22129073
Olfr1276	258390	gi|33238996
Olfr487	258042	gi|58801388
Olfr441	258649	gi|33238916
Olfr951	258046	gi|58801390
Olfr444	258650	gi|33238922
Olfr93	258051	gi|58801392
Olfr1325	258393	gi|33239364
Olfr524	258055	gi|58801394
Olfr1377	258913	gi|22129071
Olfr211	258914	gi|22129065
Olfr1181	258060	gi|58801398
Olfr1348	258915	gi|22129067
Olfr1295	258398	gi|33238974
Olfr365	258656	gi|33239286
Olfr1289	258399	gi|33238986
Olfr1346	258918	gi|22129063
Olfr804	258068	gi|58801406
Olfr787	258069	gi|58801408
Olfr1079	258402	gi|33239158
Olfr834	258074	gi|58801410
Olfr832	258075	gi|58801412
Olfr1105	258085	gi|58801414
Olfr1420	258405	gi|33238900
Olfr967	258086	gi|58801416
Olfr963	258087	gi|58801418
Olfr815	258665	gi|33239330
Olfr304	258089	gi|58801420
Olfr761	258094	gi|58801422
Pabpc2	18459	gi|6754972
Olfr799	258929	gi|22203803
Olfr808	258930	gi|22203805
Olfr820	258670	gi|33239324
Olfr1490	258098	gi|58801428
Olfr826	258671	gi|33239100
Olfr791	258932	gi|22129045
Olfr1137	258101	gi|58801430
Olfr825	258672	gi|33239098
Olfr796	258933	gi|22129047
Olfr1152	258103	gi|58801432
Olfr887	258415	gi|33239244
Olfr802	258934	gi|22129041
Olfr1162	258105	gi|58801434
Olfr888	258416	gi|33239242
Olfr790	258935	gi|22129043
Olfr1423	258675	gi|33239022
Olfr1424	258676	gi|33239020
Olfr167	258937	gi|22129037
Vmn1r209	432736	gi|62000662
Olfr1437	258117	gi|58801438
Olfr1441	258678	gi|33239078
Olfr1463	258120	gi|58801440
Olfr384	193053	gi|46402199
Olfr223	258421	gi|33238928
Olfr346	258940	gi|22129033
Olfr1465	258121	gi|58801442
Olfr354	258941	gi|22129035
Olfr1474	258123	gi|58801444
Olfr352	258942	gi|22129029
Olfr353	258943	gi|22129031
Olfr994	258425	gi|33239126
Olfr351	258944	gi|22129025
Olfr262	258683	gi|33239090
Olfr995	258426	gi|33239124
Olfr1459	258684	gi|33239134
Olfr517	258136	gi|58801450
Olfr993	258427	gi|27544951
Olfr320	216783	gi|46402211
Olfr348	258946	gi|33239292
Olfr591	258139	gi|58801452
Olfr1467	258686	gi|33239138
Olfr675	258147	gi|58801454
Olfr1454	258687	gi|33239136
Olfr792	258150	gi|58801456
Olfr938	258430	gi|33239206
Olfr338	258949	gi|22129021
Olfr1505	258151	gi|58801458
Olfr937	258431	gi|33239212
Olfr1466	258689	gi|33239140
Olfr342	258950	gi|22129023
Olfr412	258153	gi|58801460
Olfr919	258432	gi|33239210
Olfr1469	258690	gi|33239146
Olfr339	258951	gi|22129017
Olfr1283	228443	gi|46402219
Olfr1425	258155	gi|58801464
Olfr382	258435	gi|33239298
Olfr522	258954	gi|22129013
Olfr169	258158	gi|58801468
Olfr553	233578	gi|46518536
Olfr458	258436	gi|33238926
Olfr450	258437	gi|33238924
Olfr1453	258695	gi|22129437
Olfr685	258160	gi|58801472
Olfr215	258438	gi|33239318
Olfr1448	258696	gi|22129439
Olfr525	258958	gi|49227555
Olfr965	258165	gi|58801476
Olfr1317	258440	gi|33238990
Olfr1447	258698	gi|22129435
Olfr1222	258177	gi|58801478
Olfr1446	258699	gi|22129429
Olfr1451	258700	gi|22129431
Olfr1264	258206	gi|11496249
Olfr164	258443	gi|33238894
Olfr401	258701	gi|22129425
Olfr410	258702	gi|22129427
Olfr539	258963	gi|22129001
Olfr541	258964	gi|22129003
Olfr917	258183	gi|58801490
Olfr45	18344	gi|22203817
Olfr1241	258447	gi|33239034
Olfr398	258705	gi|22129415
Olfr61	18362	gi|22203811
Olfr309	258196	gi|58801494
Ifna14	404549	gi|46195448
Olfr1250	258967	gi|22128997
Olfr538	258201	gi|58801488
Olfr1178	258203	gi|58801498
Olfr94	258219	gi|58372122
Olfr1199	258450	gi|33239038
Olfr1148	258220	gi|58372118
Olfr452	258207	gi|58801492
Olfr1286	277562	gi|46402261
Olfr1239	258972	gi|22128991
Olfr1202	258454	gi|33239030
